spp,x,G,N
Species1,-0.04423552279707053,15.879144264098423,888084.0503922725
Species2,0.47310333914432495,15.332225037774167,767380.2259838168
Species3,-0.34464355529345647,15.239333117365698,863943.9423573745
Species4,0.11262249947525062,14.718717600363178,749507.823690436
Species5,-0.7660739559660248,16.03775705746712,667931.3531932037
Species6,-0.5015542805417791,15.758371187868374,1.0823136383023541e6
Species7,0.22688053917457437,15.64313495259293,829839.4533737056
Species8,-0.4036454886858529,15.244372320898131,900971.1986849937
Species9,-0.1484081949054932,16.31581185848092,920639.3602216926
Species10,-0.026974389590380968,15.357234524559146,1.0597553560226948e6
Species11,0.3673105217143543,15.542249495425622,1.0111584719983764e6
Species12,-0.2385986044415056,15.496516125404217,1.0151943764584315e6
Species13,-8.870809373396977,4.97718370086733,2.3825484601827353e7
Species14,0.05237386200689311,16.5415802389051,864196.3518280175
Species15,-0.013348265762967156,16.25384366258754,901588.6242892582
Species16,0.974734741782211,15.053170317506071,1.0376730203315695e6
Species17,0.28957116621195433,16.03506682071674,842335.3750084761
Species18,-0.29817030177328707,14.989283727323134,853198.6344257285
Species19,-0.262257821010635,15.083988053099008,987627.8812966963
Species20,0.8189725282484346,14.637295228012448,933384.4763306961
Species21,0.13580664978710583,15.724056575045509,949295.3385812513
Species22,-0.03755948444383671,14.971421150525355,854484.1407159937
Species23,-7.281409084721422,6.7957213607085984,8.765784262402968e6
Species24,0.3424206501789233,15.355653647048989,922860.8849123685
Species25,-0.3487430151566886,15.091576083365457,742336.9153638532
Species26,-3.4404432477884397,11.200080223622464,963730.7094969241
Species27,-1.2873265221111403,15.153757999473434,823706.4324766735
Species28,0.4720644093507412,15.941154090528817,1.0556234485540388e6
Species29,-0.25251303208830683,15.507095234768647,907912.8071220674
Species30,-1.7888132710307714,12.478956379982987,830122.348262928
Species31,0.4034254726716052,15.429025775604964,669118.9342490658
Species32,-0.5267841004581248,14.79599954622736,842410.2312779519
Species33,-0.20871209836764593,15.196533585992793,848742.4217750225
Species34,-0.3877930935543375,15.624142821024458,1.0384144675005926e6
Species35,0.229937056510345,14.529215598831813,811118.0355654904
Species36,0.1221260256541388,14.930725934032832,1.0246046038577888e6
Species37,-0.23867221850321566,14.414945553740939,812256.6250973546
Species38,-0.06418352230921232,15.038883405021304,908510.9283570271
Species39,-0.418273117688825,15.834738938590272,1.0248198690522115e6
Species40,-0.24159293737612847,14.912879576714696,792687.1972977486
Species41,0.04236137662958972,15.106806258385912,888756.159223669
Species42,4.053275607763844,2.893814047296598,2.7306483421806856e6
Species43,0.47948278028190017,15.845194602020689,923064.4897459019
Species44,-4.387026940736366,9.90521577920848,1.4060862775874147e6
Species45,-0.43770074050983343,15.720512081546254,1.0085411881125616e6
Species46,0.3733277824335937,15.387916964276148,911283.8564255277
Species47,-0.3059792969294486,15.6608441105417,901379.3385219781
Species48,-1.0944348725442596,14.743679298266844,1.0474667895895729e6
Species49,0.2911774956426272,15.309295627490382,970222.3934462639
Species50,0.1298305294985593,15.298511128107888,971689.3350363417
Species51,0.6561287444099805,15.326857026765792,995314.9539579597
Species52,-0.39858215310000156,14.312833936570922,732951.2075158043
Species53,-0.902380704403178,15.338147760505466,909169.9005592504
Species54,0.39655585613898875,14.895436744591677,777811.0397506978
Species55,-7.542766519236215,7.675305153171893,2.8604461297590606e7
Species56,-1.1358069228130547,14.749752404646687,979661.7875559255
Species57,-0.1990188866697527,15.549308092491987,880765.2903641362
Species58,-0.1071747218448661,15.639742672509168,962972.619245564
Species59,-0.5839628856969571,15.894120121464091,922293.1922449623
Species60,-0.5269001524963551,15.707107701800338,1.0355324564454538e6
Species61,-0.39229836725570294,14.547971457764339,962043.6896234506
Species62,-0.16615071159144074,15.956184331935406,933998.737233752
Species63,-3.4702065462590554,11.251942722444642,1.250020702962716e6
Species64,0.597190740881583,14.154597351554997,790823.7956546315
Species65,5.63603342652571,9.30147088841203,4.158673826683663e6
Species66,0.18130976096983922,14.81832682864886,792556.3968886936
Species67,-0.134605598491269,15.691640089712752,1.0037165642943452e6
Species68,0.26558997011407415,15.682036266418892,790917.6098241556
Species69,-0.12898814833231945,15.660620368793984,838797.0443247923
Species70,0.5157951751613596,15.625759367409685,958184.6446500167
Species71,-0.34225358183562515,15.227927235767957,933993.4748027391
Species72,1.1194194740057801,15.162057173847916,1.069248635748955e6
Species73,0.16614626277125288,15.766063287714564,810744.5110118192
Species74,-0.08076416437900212,15.73468257187994,848668.4761421405
Species75,-0.36407172062775084,14.767580156547549,843120.1935352682
Species76,-4.3226904316501935,3.4855174446107497,2.0221249462261598e6
Species77,-4.293784088440386,16.211508041288965,4.89562929993423e7
Species78,0.18435789365514407,16.780724017164918,746552.6975448964
Species79,-0.2190274286595389,15.312711373379793,1.0470871545154642e6
